sentence,sentiment,sentence_length
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",positive,89
"Объем реализации устройств в регионе снизился на 21 % до 2,7 млн ​​шт.",negative,70
"Stockholm-based Nordea Bank ( STO : NDA ) said yesterday it had hired Casper von Koskull to lead its corporate merchant banking and capital markets unit , effective 1 September .",neutral,178
"( ADP News ) - Sep 30 , 2008 - Finnish security and privacy software solutions developer Stonesoft Oyj said today that it won a USD 1.9 million ( EUR 1.3 m ) order to deliver its StoneGate network security products to an unnamed Russian te",positive,239
"Ixonos профинансирует приобретение посредством кредита в размере 3,8 млн евро (5,2 млн долларов США).",neutral,101
The value of this kind of order amounts usually between Euro 2 and 3 million .,neutral,78
"Чистый процентный доход составил 15,9 млн евро по сравнению с 15,6 млн евро годом ранее.",positive,88
"Денежный поток от операций вырос до 52,7 млн ​​евро с 15,6 млн евро в 2007 году.",positive,80
"Suominen Corporation подсчитала, что программа сокращения расходов, начатая осенью 2005 года, более высокие цены продаж и ожидаемый рост объемов влажных салфеток сделают деятельность компании более прибыльной.",positive,209
Bluewin Security доступен по ежемесячной подписке.,neutral,50
"Utah 's capital wanted to be the next U.S. headquarters of Amer Sports Corp. , a ski-equipment company .",neutral,104
"За первые девять месяцев 2010 года чистый убыток компании сократился до 415 000 евро с 7,4 млн евро за аналогичный период 2009 года.",positive,132
"Совет директоров Neste Oil предложил дивиденды в размере 1,00 евро за весь 2007 год по сравнению с 0,90 евро годом ранее.",positive,121
"Прибыль компании до уплаты налогов снизилась до 21,1 млн евро в третьем квартале 2008 года по сравнению с 35,8 млн евро за аналогичный период 2007 года.",negative,152
"Сети розничной торговли Suomen L+ñhikauppa был присвоен индекс 5,8, авиакомпании SAS — 5,8, широкополосному интернету TeliaSonera — 6,1, немецкой сети розничной торговли Lidl — 6,1, абонентской базе мобильной связи Tele Finland — 6,1, судоходной компании Tallink — 6,3 и энергетической компании Helsinki Energy — 6,3.",neutral,317
"According to Gallup Food and Farm Facts , beef consumption totaled 99mn kilos in Finland in 2007 .",neutral,98
"Инвестиции и операционные изменения позволяют дополнительно оптимизировать рабочее время и, таким образом, дополнительно сэкономить около 7% -9%.",positive,145
"In 2009 , Comptel slipped to a net loss of EUR2 .1 m from a profit of EUR6 .6 m in the previous year .",negative,102
"Order intake grew by 40 % year-on-year and 30 % year-on-year , respectively , to EUR 576 million and EUR 1.7 billion for the respective January-September and July-September 2010 periods .",positive,187
The total project duration is three years and it is valued at some EUR11 .5 m.,neutral,78
"Всего 30 % стоимости заказа было забронировано в четвертом квартале 2009 года, а оставшаяся часть будет забронирована во втором квартале 2010 года.",neutral,147
"Компания не раскрывает сумму, на которую она претендует.",neutral,56
"Операционная прибыль и чистый объем продаж за девять месяцев увеличились соответственно на 26,6% и 3,4% по сравнению с соответствующим периодом 2006 года.",positive,154
"In the Czech Republic , the smaller profiling unit at Ostrava will be closed and the machinery will be gradually relocated to Ruukki 's bigger plants in Hungary , Poland and Romania by the end of the first quarter of 2009 .",neutral,223
"Компания сообщила, что переговоры затронули подразделения по продуктам питания и ингредиентам, а также функции группового обслуживания.",neutral,135
«Им нужны данные моей кредитной карты и мои личные данные.,neutral,58
The expansion is to be finalized in the autumn of 2009 .,neutral,56
"Of these shares 14,747,084 are held by the Company and the number of outstanding shares and voting rights attached to the shares amounts thus to 161,256,847 .",neutral,158
"Patrick Jeambar will also continue being responsible for Innovation and Health , safety and environment HSEA functions of Ahlstrom Corporation .",neutral,144
"The biggest sellers in the chain 's supermarkets in Finland are organic Pirkka tomatoes , carrots , eggs , and meat products .",neutral,126
"Once your plants are in the ground they will continue to grow , but the success of any garden lies in how well it 's maintained .",neutral,129
После создания план будет рассчитан примерно на 20 человек.,neutral,59
"Генеральный директор Сакари Тамминен сообщил, что объемы поставок и цены продаж Ruukki продемонстрировали благоприятную динамику, а сопоставимые чистые продажи компании выросли на 50% в годовом исчислении до 647 млн ​​евро.",positive,223
The company also equipped the sculptural complex Rabochy i Kolkhoznitsa A Worker and a Collective Farmer in Moscow with snow melting system .,neutral,141
"В третьем квартале 2007 года чистый объем продаж составил 25,95 млн евро, а операционная прибыль — 3,88 млн евро.",neutral,113
Доход немного снизился и составил x20ac 495 миллионов 634 миллиона долларов по сравнению с x20ac 497 миллионами годом ранее.,negative,124
"Finnish software developer Basware Oyj said on November 30 , 2006 its U.S. subsidiary Basware , Inc. won an order to provide software for contract lifecycle management to an unnamed U.S. medical technology company .",positive,215
"Компания занимается продажей финансовых продуктов, включая страхование, ипотечные кредиты, автокредиты и потребительские кредиты, финансовое посредничество и лизинг оборудования.",neutral,178
The CVs of the proposed members are available for viewing from 12 March 2008 onwards on the Internet at www.sampo.com/ir .,neutral,122
"В настоящее время ей принадлежит 80 565 акций Amer Sports Corporation, что составляет 0,11 % акционерного капитала компании и права голоса.",neutral,139
"Upon establishment , the plan is directed to approximately 20 persons .",neutral,71
"Операции компании Huhtamaki по производству потребительских товаров из жесткого пластика, которые осуществляются в основном в Европе, будут выделены в новый отчетный сегмент с 1 января 2009 года.",neutral,195
"Before Kemira 's installation NordAlu was producing 3,500 tons of liquid and solid aluminum waste per year .",neutral,108
"`` The implementation of these programs has had , and will have , negative impacts on 2006 and 2007 earnings , '' Mr Meiklejohn said .",negative,134
"Выручка BAVARIA Industriekapital AG в 2006 году составила 333 миллиона евро, а показатель EBITDA — 51 миллион евро.",neutral,115
"Мурсула сказал, что они пытались собрать макроэкономическую информацию, чтобы увидеть, как обстоят дела в Малайзии.",neutral,115
"In 2007 , Etteplan had turnover of EUR125 .2 m.",neutral,47
"Finnish Scanfil , a systems supplier and contract manufacturer to the communications sector and the electronics industry , reports its net sales totalled EUR 94.7 mn in the first half of 2010 , down from EUR 99.5 mn in the first half of 2009 .",negative,243
Общая площадь восьми домов составит 12 167 м2.,neutral,46
"treatment products in Usa , Canada , Mexico , Australia and Brazil Today , Global Research & Data Services is going to publish several market analyses about the markets for water treatment products in some selected countries .",neutral,226
