summary,sentiment
"В Австрии заявили, что «Газпром» «систематически отказывается заполнять» крупнейшее газовое хранилище страны в Хайдахе. Его передадут другим энергетическим компаниям",neutral
"В пресс-службе компании указали, что экспортеры СПГ освобождены от обязанности продавать валютную выручку, другие решения пока не рассматриваются",neutral
"Как стало известно “Ъ”, на фоне западных санкций крупные нефтекомпании, испытывающие серьезные проблемы с отгрузками топлива, могут столкнуться не только со снижением производства, но и с остановкой НПЗ. Второй по величине российский нефтепереработчик ЛУКОЙЛ ожидает таких последствий из-за нехватки мощностей для хранения мазута. Чтобы избежать этого, компания хочет перенаправить избыток мазута на ТЭЦ и предлагает временно отменить высокие штрафы за негативное воздействие на экологию. Такие же послабления нужны и для сжигания попутного нефтяного газа, которое, по мнению ЛУКОЙЛа, может увеличиться из-за временной невозможности продавать за рубеж производимые из него сжиженные углеводородные газы (СУГ).",negative
"На следующей неделе Евросоюз предъявит Apple обвинение в нарушении антимонопольного законодательства, сообщает Financial Times со ссылкой на четыре источника.",negative
"The full names, phone numbers, passwords and IP addresses of service users were leaked online. According to the company, this leak is a continuation of the previous one, when unknown people leaked a table of internal Rostelecom accounts",negative
"Telegram-канал «Авиаторщина» писал, что в бизнес-классе «Аэрофлота» теперь подают российское шампанское вместо французского, а из эконом-класса пропал апельсиновый сок. В компании перемены объяснили сложностями с поставщиками",positive
Twitter executives will file a lawsuit against Space X and Tesla founder Elon Musk over his decision to back out of buying the company earlier this week.,negative
"Biden administration officials fear Donald Trump and his supporters will return to Twitter after Elon Musk bought the social network, sources told CNBC. Trump himself has previously said he has no intention of doing so",neutral
"В первоначальной версии материала говорилось со ссылкой на сообщение журналиста The Economist Оливера Кэрролла, что IBM объявила о прекращении работы в России.",neutral
"Alibaba Group is set to hold an initial public offering on the Hong Kong stock exchange, where the company's ""secondary"" shares are already traded. This will allow it to expand its investor pool and avoid the risk of delisting from the American market.",positive
Retailer Magnit has entered the Uzbek market with a chain of drugstore stores selling beauty and health products.,positive
The airline will fly to Istanbul and Antalya from Moscow's Sheremetyevo Airport. The carrier announced the suspension of international flights in early March due to the risk of seizure of aircraft leased from foreign companies,positive
Baysarov and Klimov are ready to invest up to 1.5 trillion rubles in the development of the BAM and the Trans-Siberian Railway under concession conditions. Putin instructed Mishustin and the Ministry of Transport to study the proposals. Russian Railways believes that the costs will exceed 2.5 trillion rubles.,positive
"MacBook и iPhone поступили на склады в июне, хотя Apple объявила о приостановке продаж 1 марта",positive
"В компании подчеркнули, что новая процедура оплаты российского газа не нарушает санкции. Прежде в OMV отрицали планы открыть рублевый счет",positive
